NOMBRE;OBJECTID;LONGITUD;LATITUD;AREA;COD_DIS;COD_DIS_TX;DISTRITO
Centro;11;10304,07973;404.165;5228246,741;1;1;CENTRO
Arganzuela;6;12806,76426;404.008;6462175,63;2;2;ARGANZUELA
Retiro;9;9523,885329;404.153;5466211,164;3;3;RETIRO
Salamanca;12;10866,33577;404.270;5392403,428;4;4;SALAMANCA
Chamartín;17;13396,81708;404.495;9175481,878;5;5;CHAMARTÍN
Tetuán;15;9919,059595;404.596;5374724,446;6;6;TETUÁN
Chamberí;13;9019,542776;404.381;4679185,047;7;7;CHAMBERÍ
Fuencarral - El Pardo;21;94482,14556;404.873;237838370,4;8;8;FUENCARRAL - EL PARDO
Moncloa - Aravaca;16;41034,34336;404.352;46531136,2;9;9;MONCLOA - ARAVACA
Latina;7;28181,05527;403.947;25427202,6;10;10;LATINA
Carabanchel;4;18083,30558;403.816;14048316,11;11;11;CARABANCHEL
Usera;3;11878,91045;403.844;7777717,293;12;12;USERA
Puente de Vallecas;5;17263,77382;403.883;14968606,15;13;13;PUENTE DE VALLECAS
Moratalaz;8;10814,07229;404.073;6103167,529;14;14;MORATALAZ
Ciudad Lineal;18;21524,70026;404.453;11425677,82;15;15;CIUDAD LINEAL
Hortaleza;20;26988,38785;404.694;27419761,67;16;16;HORTALEZA
Villaverde;1;18342,36139;403.469;20187586,34;17;17;VILLAVERDE
Villa de Vallecas;2;33480,66228;403.736;51467238,51;18;18;VILLA DE VALLECAS
Vicálvaro;10;34265,39005;403.956;35266713,27;19;19;VICÁLVARO
San Blas - Canillejas;14;26780,32886;404.396;22292392,33;20;20;SAN BLAS - CANILLEJAS
Barajas;19;28730,35067;404.732;41922811,47;21;21;BARAJAS
